,time,P_f,P_e,P_g1,P_g2
0,0.0,0.0495,0.716,0.9505,0.284
1,0.1,0.0685,0.6545,0.9315,0.3455
2,0.2,0.0685,0.591,0.9315,0.409
3,0.30000000000000004,0.0635,0.5,0.9365,0.5
4,0.4,0.0575,0.448,0.9425,0.552
5,0.5,0.053,0.4085,0.947,0.5915
6,0.6000000000000001,0.0415,0.364,0.9585,0.636
7,0.7000000000000001,0.0545,0.334,0.9455,0.666
8,0.8,0.0375,0.299,0.9625,0.701
9,0.9,0.0335,0.259,0.9665,0.741
10,1.0,0.04,0.246,0.96,0.754
11,1.1,0.0405,0.2035,0.9595,0.7965
12,1.2000000000000002,0.0305,0.1785,0.9695,0.8215
13,1.3,0.0335,0.178,0.9665,0.822
14,1.4000000000000001,0.029,0.148,0.971,0.852
15,1.5,0.0305,0.1375,0.9695,0.8625
16,1.6,0.037,0.1295,0.963,0.8705
17,1.7000000000000002,0.0305,0.0965,0.9695,0.9035
18,1.8,0.0295,0.108,0.9705,0.892
19,1.9000000000000001,0.032,0.089,0.968,0.911
20,2.0,0.0265,0.0705,0.9735,0.9295
21,2.1,0.0275,0.069,0.9725,0.931
22,2.2,0.03,0.068,0.97,0.932
23,2.3000000000000003,0.0235,0.064,0.9765,0.936
24,2.4000000000000004,0.0225,0.059,0.9775,0.941
25,2.5,0.0295,0.0515,0.9705,0.9485
26,2.6,0.023,0.0505,0.977,0.9495
27,2.7,0.0255,0.0505,0.9745,0.9495
28,2.8000000000000003,0.028,0.04,0.972,0.96
29,2.9000000000000004,0.023,0.0375,0.977,0.9625
30,3.0,0.023,0.034,0.977,0.966
31,3.1,0.022,0.03,0.978,0.97
32,3.2,0.021,0.0295,0.979,0.9705
33,3.3000000000000003,0.025,0.029,0.975,0.971
34,3.4000000000000004,0.022,0.027,0.978,0.973
35,3.5,0.024,0.023,0.976,0.977
36,3.6,0.02,0.0255,0.98,0.9745
37,3.7,0.0215,0.02,0.9785,0.98
38,3.8000000000000003,0.025,0.0235,0.975,0.9765
39,3.9000000000000004,0.0185,0.0175,0.9815,0.9825
40,4.0,0.0265,0.0205,0.9735,0.9795
41,4.1000000000000005,0.0185,0.018,0.9815,0.982
42,4.2,0.0205,0.0205,0.9795,0.9795
43,4.3,0.0215,0.0245,0.9785,0.9755
44,4.4,0.024,0.019,0.976,0.981
45,4.5,0.0155,0.021,0.9845,0.979
46,4.6000000000000005,0.0205,0.0205,0.9795,0.9795
47,4.7,0.0225,0.015,0.9775,0.985
48,4.800000000000001,0.027,0.0105,0.973,0.9895
49,4.9,0.018,0.016,0.982,0.984
50,5.0,0.019,0.0115,0.981,0.9885
